epoch,acc,loss,lr,val_acc,val_loss
0,0.27176910958203676,1.708097319794603,0.001,0.31678487089227,1.3983229449454775
1,0.3285066982110341,1.4345240398501673,0.001,0.3309692677735719,1.3256020816505378
2,0.4336091410324647,1.2538974960551101,0.001,0.4397163144521961,1.242398846515809
3,0.5408786445785639,1.0794757712629481,0.001,0.503546101827148,1.1167110018696345
4,0.6177107958083458,0.9394634001080308,0.001,0.5413711609288029,1.0953815135549991
5,0.6714933017185112,0.8218055177711896,0.001,0.5342789598813293,1.1401556676724842
6,0.7161150513153738,0.7269226123349135,0.001,0.602836881546264,1.0839971566031166
7,0.7532505910165485,0.6447608039264514,0.001,0.6288416096786517,1.0548811243499143
8,0.7812253743574504,0.5683067042682939,0.001,0.605200948021936,1.1165806697615495
9,0.8082151301175802,0.5089009849925601,0.001,0.6075650142157895,1.1841641148776874
10,0.8286052009456265,0.45500057005713174,0.001,0.6004728147887732,1.20707736229502
11,0.8475177304964538,0.411017562903411,0.001,0.5933806169117596,1.2902409652727997
12,0.8652482269503546,0.36277852695320795,0.001,0.5342789600222387,1.6149835843002824
13,0.8919424743423131,0.29922492595476086,0.000100000005,0.635933808260212,1.1739286192765472
14,0.9084909376523174,0.26050241443000505,0.000100000005,0.635933808260212,1.214354581866704
15,0.9158786446020488,0.24446620738722377,0.000100000005,0.6501182054233325,1.2282268428915217
16,0.912234042459252,0.24623090817855042,0.000100000005,0.6312056755906865,1.253828130151645
17,0.9136130812132425,0.24461368668069983,0.000100000005,0.6335697422072679,1.2113278371504295
18,0.9244483845547675,0.21435313405860965,1.0000001e-05,0.6335697423481772,1.2333037052875997
19,0.9210007879750949,0.22878557426005108,1.0000001e-05,0.6406619407888282,1.2287081457480753
20,0.9231678486997635,0.2199347088945673,1.0000001e-05,0.6406619406479188,1.2349469354530316
21,0.9210992906862023,0.2219960671931012,1.0000001e-05,0.6453900730356257,1.2339156668800553
22,0.9171591803631133,0.22540520454505186,1.0000001e-05,0.6477541393703885,1.2351776451647423
23,0.9241528762805359,0.22013637623136864,1.0000001e-06,0.6501182055642419,1.2321584768610925
24,0.9184397163120568,0.22903368052556067,1.0000001e-06,0.6501182054233325,1.233686718534916
25,0.921591804570528,0.2241758478026018,1.0000001e-06,0.6501182054233325,1.233946071448901
26,0.9248423954931368,0.2163602523535044,1.0000001e-06,0.6477541392294791,1.2325389929133386
27,0.9219858155088974,0.21987650979683096,1.0000001e-06,0.6477541393703885,1.2363856644776978
